richtung,tagestyp,fahrt_nr,reihenfolge,haltestelle,uhrzeit
Puderbach -> Neuwied,Mo-Fr,10,17,Torney Dierdorfer Straße,14.29
Puderbach -> Neuwied,Mo-Fr,10,18,Friedhof Wennenberg,14.30
Puderbach -> Neuwied,Mo-Fr,10,19,Neuwied Beverwijker Ring,14.32
Puderbach -> Neuwied,Mo-Fr,10,20,Ludwig-Erhard-Schule,14.35
Puderbach -> Neuwied,Mo-Fr,10,21,Matthiasberg,14.36
Puderbach -> Neuwied,Mo-Fr,10,22,Stadion A,14.38
Puderbach -> Neuwied,Mo-Fr,10,23,Im Weidchen A,14.39
Puderbach -> Neuwied,Mo-Fr,10,24,Schloßtheater A,14.40
Puderbach -> Neuwied,Mo-Fr,10,25,Marktkirche A,14.42
Puderbach -> Neuwied,Mo-Fr,10,26,Marktstraße B,14.43
Puderbach -> Neuwied,Mo-Fr,10,27,Moltkeplatz A,14.45
Puderbach -> Neuwied,Mo-Fr,10,28,Bahnhof H,14.51
Puderbach -> Neuwied,Mo-Fr,11,1,Puderbach Verbandsgemeinde,14.49
Puderbach -> Neuwied,Mo-Fr,11,2,Hölzchens Mühle,14.50
Puderbach -> Neuwied,Mo-Fr,11,3,Hanroth Hedwigsthal A,14.51
Puderbach -> Neuwied,Mo-Fr,11,4,Raubach In der Au,14.55
Puderbach -> Neuwied,Mo-Fr,11,5,Wienau Flemmer,14.58
Puderbach -> Neuwied,Mo-Fr,11,6,Dierdorf Markt an,15.02
Puderbach -> Neuwied,Mo-Fr,11,7,Dierdorf Markt ab,15.03
Puderbach -> Neuwied,Mo-Fr,11,8,Neuwieder Straße B,15.04
Puderbach -> Neuwied,Mo-Fr,11,9,SZ-Center B,15.06
Puderbach -> Neuwied,Mo-Fr,11,10,Rüscheid Siegel,15.13
Puderbach -> Neuwied,Mo-Fr,11,11,Anhausen Petershof A,15.15
Puderbach -> Neuwied,Mo-Fr,11,12,Schillerstraße A an,15.18
Puderbach -> Neuwied,Mo-Fr,11,13,Schillerstraße A ab,15.19
Puderbach -> Neuwied,Mo-Fr,11,14,Braunsberg/Rheinhöhenweg,15.21
Puderbach -> Neuwied,Mo-Fr,11,15,Gladbach Haus am Pilz,15.23
Puderbach -> Neuwied,Mo-Fr,11,16,Chausseehaus,15.26
Puderbach -> Neuwied,Mo-Fr,11,17,Torney Dierdorfer Straße,15.29
Puderbach -> Neuwied,Mo-Fr,11,18,Friedhof Wennenberg,15.30
Puderbach -> Neuwied,Mo-Fr,11,19,Neuwied Beverwijker Ring,15.32
Puderbach -> Neuwied,Mo-Fr,11,20,Ludwig-Erhard-Schule,15.35
Puderbach -> Neuwied,Mo-Fr,11,21,Matthiasberg,15.36
Puderbach -> Neuwied,Mo-Fr,11,22,Stadion A,15.38
Puderbach -> Neuwied,Mo-Fr,11,23,Im Weidchen A,15.39
Puderbach -> Neuwied,Mo-Fr,11,24,Schloßtheater A,15.40
Puderbach -> Neuwied,Mo-Fr,11,25,Marktkirche A,15.42
Puderbach -> Neuwied,Mo-Fr,11,26,Marktstraße B,15.43
Puderbach -> Neuwied,Mo-Fr,11,27,Moltkeplatz A,15.45
Puderbach -> Neuwied,Mo-Fr,11,28,Bahnhof H,15.51
Puderbach -> Neuwied,Mo-Fr,12,1,Puderbach Verbandsgemeinde,15.49
Puderbach -> Neuwied,Mo-Fr,12,2,Hölzchens Mühle,15.50
Puderbach -> Neuwied,Mo-Fr,12,3,Hanroth Hedwigsthal A,15.51
Puderbach -> Neuwied,Mo-Fr,12,4,Raubach In der Au,15.55
Puderbach -> Neuwied,Mo-Fr,12,5,Wienau Flemmer,15.58
Puderbach -> Neuwied,Mo-Fr,12,6,Dierdorf Markt an,16.02
Puderbach -> Neuwied,Mo-Fr,12,7,Dierdorf Markt ab,16.03
Puderbach -> Neuwied,Mo-Fr,12,8,Neuwieder Straße B,16.04
Puderbach -> Neuwied,Mo-Fr,12,9,SZ-Center B,16.06
Puderbach -> Neuwied,Mo-Fr,12,10,Rüscheid Siegel,16.13
Puderbach -> Neuwied,Mo-Fr,12,11,Anhausen Petershof A,16.15
Puderbach -> Neuwied,Mo-Fr,12,12,Schillerstraße A an,16.18
Puderbach -> Neuwied,Mo-Fr,12,13,Schillerstraße A ab,16.19
Puderbach -> Neuwied,Mo-Fr,12,14,Braunsberg/Rheinhöhenweg,16.21
Puderbach -> Neuwied,Mo-Fr,12,15,Gladbach Haus am Pilz,16.23
Puderbach -> Neuwied,Mo-Fr,12,16,Chausseehaus,16.26
Puderbach -> Neuwied,Mo-Fr,12,17,Torney Dierdorfer Straße,16.29
Puderbach -> Neuwied,Mo-Fr,12,18,Friedhof Wennenberg,16.30
Puderbach -> Neuwied,Mo-Fr,12,19,Neuwied Beverwijker Ring,16.32
Puderbach -> Neuwied,Mo-Fr,12,20,Ludwig-Erhard-Schule,16.35
Puderbach -> Neuwied,Mo-Fr,12,21,Matthiasberg,16.36
Puderbach -> Neuwied,Mo-Fr,12,22,Stadion A,16.38
Puderbach -> Neuwied,Mo-Fr,12,23,Im Weidchen A,16.39
Puderbach -> Neuwied,Mo-Fr,12,24,Schloßtheater A,16.40
Puderbach -> Neuwied,Mo-Fr,12,25,Marktkirche A,16.42
Puderbach -> Neuwied,Mo-Fr,12,26,Marktstraße B,16.43
Puderbach -> Neuwied,Mo-Fr,12,27,Moltkeplatz A,16.45
Puderbach -> Neuwied,Mo-Fr,12,28,Bahnhof H,16.51
Puderbach -> Neuwied,Mo-Fr,13,1,Puderbach Verbandsgemeinde,16.49
Puderbach -> Neuwied,Mo-Fr,13,2,Hölzchens Mühle,16.50
Puderbach -> Neuwied,Mo-Fr,13,3,Hanroth Hedwigsthal A,16.51
Puderbach -> Neuwied,Mo-Fr,13,4,Raubach In der Au,16.55
Puderbach -> Neuwied,Mo-Fr,13,5,Wienau Flemmer,16.58
Puderbach -> Neuwied,Mo-Fr,13,6,Dierdorf Markt an,17.02
Puderbach -> Neuwied,Mo-Fr,13,7,Dierdorf Markt ab,17.03
Puderbach -> Neuwied,Mo-Fr,13,8,Neuwieder Straße B,17.04
Puderbach -> Neuwied,Mo-Fr,13,9,SZ-Center B,17.06
